105677.8432844057,64448.03830817773,6.296545635139609,3.309364962431234,1300,85000
km,fuel,age,price
0.45497,-1,0.51474,0.10036
0.76530,-1,0.21256,0.07407
-1.50009,-1,-1.29830,0.30705
0.67220,-1,1.11908,0.06810
1.97558,-1,1.72343,0.03943
1.91351,-1,1.42126,0.04182
1.09115,-1,0.81691,0.09438
-0.68104,-1,-0.69395,0.17443
-0.80185,-1,-0.99613,0.19056
-0.50704,1,-0.08961,0.19940
-0.84840,-1,-0.99613,0.27001
-0.63117,-1,-0.99613,0.15771
-1.63958,-1,-1.90264,0.24612
-0.27430,-1,-0.39178,0.21147
0.00500,-1,0.51474,0.09188
-0.88564,1,-0.69395,0.18746
-0.96144,-1,-0.99613,0.28196
-0.24326,-1,0.21256,0.28913
-0.04155,1,1.72343,0.07407
0.23774,-1,-0.08961,0.13978
-1.50009,-1,-1.29830,0.19474
-0.86702,1,0.81691,0.12545
-1.02219,-1,-0.69395,0.22330
-0.19671,-1,-0.69395,0.27001
0.36188,-1,-0.08961,0.17563
-0.09353,1,1.42126,0.13620
0.45497,-1,0.81691,0.09797
-1.25757,-1,-1.60047,0.37754
0.29981,-1,0.81691,0.14934
-0.81116,-1,-0.99613,0.24134
1.10666,-1,1.42126,0.07049
0.81185,-1,-0.69395,0.11828
-1.59319,-1,-1.90264,0.29498
-0.56911,-1,-0.69395,0.19355
-0.10362,-1,0.51474,0.12294
0.11361,-1,0.21256,0.10992
-1.19752,-1,-1.29830,0.18160
-0.04948,-1,-0.39178,0.18626
-1.42631,1,-0.99613,0.30693
2.42555,-1,1.72343,0.03823
-0.20629,-1,-0.99613,0.22640
0.29981,-1,0.81691,0.06810
-1.30924,1,-1.60047,0.24970
1.02908,-1,0.21256,0.07587
-1.55595,-1,-1.60047,0.26511
0.53256,-1,0.51474,0.08363
0.61014,-1,-0.08961,0.12186
-1.63718,-1,0.51474,0.07646
-0.10362,1,1.11908,0.10872
0.29981,-1,-0.08961,0.16356
1.27734,-1,1.42126,0.05615
0.84273,-1,0.81691,0.09797
-1.63966,-1,-1.90264,0.30645
-0.67772,-1,-0.39178,0.22330
-0.22775,-1,-0.39178,0.25090
0.33084,-1,1.42126,0.07766
-0.08810,-1,0.21256,0.10394
-0.57376,-1,-0.69395,0.16249
-0.25878,-1,-0.99613,0.16249
-0.08841,-1,0.21256,0.10382
1.69628,-1,1.11908,0.04958
-1.17577,-1,-0.99613,0.24361
-0.24326,-1,-0.08961,0.15054
-0.35188,-1,-0.69395,0.16356
-0.87175,-1,-0.99613,0.22160
-1.17425,-1,-1.29830,0.35484
-0.92598,-1,-0.99613,0.17551
0.14465,-1,-0.08961,0.10215
0.37739,-1,-0.08961,0.09200
1.29286,-1,1.72343,0.05962
-0.21502,-1,-0.39178,0.18698
-0.55359,1,0.81691,0.11589
-0.63117,-1,0.21256,0.14564
0.37739,-1,-0.39178,0.13142
1.07563,-1,0.21256,0.09796
-0.99759,-1,-0.99613,0.27001
0.04689,-1,-0.69395,0.16356
1.04460,-1,0.51474,0.07168
0.53100,-1,1.11908,0.07993
-1.09775,-1,-0.99613,0.19833
-1.22080,-1,-1.29830,0.38949
0.32969,-1,-0.39178,0.21027
1.04460,-1,1.11908,0.07407
-0.16568,-1,0.51474,0.15173
-0.11913,-1,-0.69395,0.22342
-0.08810,-1,-0.99613,0.15173
-0.94150,-1,-0.99613,0.17563
0.23774,-1,0.81691,0.10992
0.62565,-1,0.51474,0.09188
-0.35188,-1,-0.39178,0.21147
-0.16568,-1,-0.39178,0.16607
0.09512,1,1.72343,0.06452
0.48601,-1,0.51474,0.09200
-1.50009,-1,-1.90264,0.45639
0.34636,-1,0.21256,0.18638
0.92046,-1,0.21256,0.13381
0.14465,-1,0.51474,0.10382
0.74978,-1,-0.08961,0.08841
1.08339,-1,1.11908,0.05376
-0.81313,-1,-0.99613,0.17335
0.22223,-1,-0.39178,0.15173
-1.41303,-1,-0.99613,0.18160
1.04520,-1,1.11908,0.07766
-1.56726,-1,-1.60047,0.29331
-1.06701,-1,-0.69395,0.25795
-1.38480,-1,-1.60047,0.30734
-1.02312,-1,-0.99613,0.24724
1.30837,-1,1.42126,0.09080
0.08258,-1,0.21256,0.13740
1.57215,-1,1.72343,0.06213
-0.43722,-1,-0.08961,0.12186
1.49457,-1,1.42126,0.06332
-0.81737,1,-1.29830,0.32497
-1.63693,-1,0.81691,0.07168
-0.86392,-1,-0.39178,0.19952
1.89800,-1,0.81691,0.03226
0.42394,-1,0.81691,0.11470
1.07563,-1,1.72343,0.08005
-1.31715,1,-1.60047,0.27106
0.29981,-1,0.51474,0.14576
-0.04931,-1,0.51474,0.20191
0.88167,-1,0.81691,0.13620
-1.48473,-1,-1.90264,0.30693
1.47905,-1,0.21256,0.07049
-0.73979,-1,-0.39178,0.19940
-0.53131,-1,-0.99613,0.24612
0.19120,-1,0.81691,0.10382
0.88943,1,0.51474,0.08363
-0.19671,-1,-0.08961,0.11529
-0.97253,-1,-0.69395,0.22342
-1.50009,-1,-1.90264,0.43668
-1.36573,-1,-0.99613,0.24612
0.68772,-1,1.11908,0.08841
0.29981,-1,0.81691,0.09797
0.37739,-1,2.02560,0.05376
0.76530,-1,0.51474,0.07993
1.43251,-1,1.11908,0.07587
1.46354,-1,1.72343,0.06452
0.22068,-1,0.81691,0.17551
-0.78478,-1,-0.39178,0.16726
-1.61877,-1,-1.60047,0.35364
-0.22775,-1,-0.69395,0.15054
-1.43027,-1,-1.90264,0.30693
-1.25183,-1,-0.99613,0.16308
1.83593,-1,1.11908,0.07168
-0.18120,-1,-0.69395,0.24731
0.09810,-1,-0.99613,0.22103
-0.86392,-1,-0.69395,0.27718
-0.07413,-1,0.51474,0.09438
1.07561,-1,1.11908,0.07646
0.16637,-1,0.51474,0.12784
-0.97921,-1,-0.99613,0.23417
-0.08802,-1,-0.39178,0.12784
-0.63069,-1,-0.39178,0.19940
0.08258,-1,-0.08961,0.10992
1.54112,-1,1.72343,0.07407
-0.65916,-1,-0.99613,0.17551
2.64278,-1,1.72343,0.04898
-1.33019,1,-1.60047,0.28256
-0.30378,-1,0.21256,0.13859
-0.72427,-1,-0.69395,0.24612
