km,fuel,age,price
29321.923989071624105677.8432844057,Diesel,1.70346252076185326.296545635139609,8400.1321300
49322.08371724842105677.8432844057,Diesel,0.70343861641438316.296545635139609,6199.6591300
-96677.85778571432105677.8432844057,Diesel,-4.2965485307244716.296545635139609,25700.0851300
43321.97135075707105677.8432844057,Diesel,3.70344414215754556.296545635139609,5699.9699999999991300
127322.25552086976105677.8432844057,Diesel,5.7034588572028616.296545635139609,3300.2911300
123321.96578308118105677.8432844057,Diesel,4.7034680465050156.296545635139609,3500.33400000000031300
70322.47699996813105677.8432844057,Diesel,2.70345333145969936.296545635139609,7899.6060000000011300
-43891.69200940136105677.8432844057,Diesel,-2.29653381567915466.296545635139609,14599.7911300
-51677.659517412314105677.8432844057,Diesel,-3.2965577200266256.296545635139609,15949.8720000000011300
-32677.73334377844105677.8432844057,Essence,-0.296552194283462866.296545635139609,16689.781300
-54677.715700657995105677.8432844057,Diesel,-3.2965577200266256.296545635139609,22599.8369999999961300
-40677.66833897254105677.8432844057,Diesel,-3.2965577200266256.296545635139609,13200.3271300
-105667.71464932205105677.8432844057,Diesel,-6.2965301521201636.296545635139609,20600.2441300
-17678.09690793315105677.8432844057,Diesel,-1.2965430049813096.296545635139609,17700.0391300
322.24019154088865105677.8432844057,Diesel,1.70346252076185326.296545635139609,7690.3560000000011300
-57077.76064725452105677.8432844057,Essence,-2.29653381567915466.296545635139609,15690.4019999999981300
-61962.921951014396105677.8432844057,Diesel,-3.2965577200266256.296545635139609,23600.0521300
